अ	[सं.] ना.
कृत्रिम	वि. [सं.]
कृत्रिम अभाव	ना.
कृत्रिम गर्भाधान	ना.
कृत्रिम नागरिकता	नाम [सं.]
कृत्रिम श्वास	ना.
कृत्रिमता	नाम [सं. कृत्रिम+ता]
कृदन्त	ना. [सं.]
कृदन्तीकरण	नाम [सं.]
कृदन्तीय	विशेषण [सं.]
कृन्तक	विशेषण [सं.]
कृपण	वि. [सं.]
कृपणता	ना.
कृपणी	वि.
कृपया	क्रि.यो. [सं.]
कृपा	ना. [सं.]
कृपाकर	वि.
कृपाकाङ्क्षा	नाम [सं. कृपा+आकाङ्क्षा]
कृपाकाङ्क्षी	वि.
कृपाङ्क	ना.
कृपाचार्य	नाम [सं.]
कृपाण	ना. [सं.]
कृपाणिका	ना.
कृपाणी	नाम [सं.]
कृपादृष्टि	नाम [सं. कृपा+दृष्टि]
कृपानिधान	नाम [सं.]
कृपानिधि	नाम [सं.]
कृपापत्र	नाम [सं.]
कृपापात्र	वि. [सं.]
कृपापूर्वक	क्रियाविशेषण [कृपा+पूर्वक]
कृपाप्राप्त	विशेषण [कृपा+प्राप्त]
कृपालु	वि. [सं.]
कृपालुता	ना.
कृपावाद	ना. [सं.]
कृपावादी	विशेषण [सं.]
कृपावान्	विशेषण [सं. कृपा+वान्]
कृपासिन्धु	नाम [सं.]
कृपेच्छु	विशेषण [सं.]
कृमि	ना. [सं.]
कृमिकोश	ना.
कृमिकोष	नाम [सं.]
कृमिघ्न	विशेषण [सं.]
कृमिज	विशेषण [सं.]
कृमिरोग	ना.
कृमिल	विशेषण [सं. कृमि+ल]
कृमिविज्ञान	ना.
कृमिशैल	ना.
कृश	वि. [सं.]
कृश कृशोदरी	वि.
कृशकाय	वि.
कृशतनु	नाम [सं.]
कृशता	ना.
कृशाङ्ग	विशेषण [कृश+अङ्ग]
कृशाङ्गी	वि.
कृशोदर	विशेषण [सं. कृश+उदर]
कृशोदरी	विशेषण [सं.]
कृषक	ना. [सं.]
कृषक अगुवा	ना.
कृषाण	ना. [सं.]
कृषि	ना. [सं.]
कृषि अर्थशास्त्र	ना.
कृषि अर्थशास्त्री	ना.
कृषि उत्पादन	ना.
कृषि उद्योग	नाम [सं.]
कृषि उपज	ना.
कृषि ऋण	ना.
कृषि ऐन	ना.
कृषि मौसम	नाम
कृषि यन्त्र	ना.
कृषि वर्ष	ना.
कृषि विकास बैङ्क	ना.
कृषि विभाग	ना.
कृषि व्यवसाय	ना.
कृषि व्यवसायी	विशेषण [सं.]
कृषि सचिव	नाम [सं.]
कृषि समिति	ना.
कृषि साधन	ना.
कृषि सामग्री	नाम [सं.]
कृषिकर्म	ना.
कृषिक्रान्ति	नाम [सं.]
कृषिगृह	ना.
कृषिचुन	ना.
कृषिजन्य	विशेषण [सं. कृषि+जन्य]
कृषिजन्य अर्थप्रणाली	नाम [सं.]
कृषिजीवी	वि.
कृषिदास	नाम [सं.]
कृषिप्रधान	वि.
कृषिफर्म	नाम
कृषिफल	नाम [सं.]
कृषिबजार	नाम
कृषिभूमि	ना.
कृषिमौसम आयोग	ना.
कृषियन्त्र	नाम [सं.]
कृषियुग	नाम [सं.]
कृषियोग्य	विशेषण [सं.]
कृषिवर्ष	नाम
कृषिविज्ञान	ना.
कृषिविद्	नाम [सं.]
कृष्ट	वि. [सं.]
कृष्ट भूमि	नाम [सं.]
कृष्टि	ना.
कृष्ण	विशेषण [सं.]
कृष्ण प्रणामी	
कृष्ण लवण	नाम [सं.]
कृष्ण सर्प	नाम
कृष्णक	नाम [सं.]
कृष्णकर्म	नाम [सं.]
कृष्णकर्मा	विशेषण [सं.]
कृष्णकली	नाम [कृष्ण+कली]
कृष्णकाय	विशेषण [सं.]
कृष्णकाष्ठ	नाम [सं.]
कृष्णगण्डकी	नाम [सं.]
कृष्णचरित्र	नाम [सं.]
कृष्णछिद्र	नाम [सं.]
कृष्णजटा	नाम [सं.]
कृष्णजिरा	नाम [सं. कृष्ण+जीरक]
कृष्णद्वैपायन	नाम [सं.]
कृष्णनगर	नाम
कृष्णपक्ष	नाम [सं.]
कृष्णपर्णी	नाम [सं.]
कृष्णपुर	नाम
कृष्णप्रणामी	नाम [सं.]
कृष्णभक्त	नाम [सं.]
कृष्णभिर	नाम
कृष्णभोग	नाम [सं.]
कृष्णयजुर्वेद	नाम [सं.]
कृष्णलवण	
कृष्णलीला	नाम [सं.]
कृष्णलोह	नाम [सं.]
कृष्णवर्ण	नाम [सं.]
कृष्णशालि	नाम [सं.]
कृष्णसखा	नाम [सं.]
कृष्णसार	नाम [सं.]
कृष्णा	नाम [सं.]
कृष्णागरु	नाम [सं.]
कृष्णाचल	नाम [सं.]
कृष्णाजनि गोत्र	नाम
कृष्णाजिन	नाम [सं.]
कृष्णाञ्जनी	नाम [सं.]
कृष्णात्रि गोत्र	नाम
कृष्णाभिसारिका	नाम [सं.]
कृष्णार्पण	नाम [सं. कृष्ण+अर्पण]
कृष्णावास	नाम [सं.]
कृष्णाष्टमी	नाम [सं.]
कृष्य	विशेषण [सं.]
के	सर्वनाम [सं. किम्]
के के जाति	नाम
के जाति	नाम [के+जाति]
के पो	क्रियाविशेषण
के रे	विस्मयादिबोधक
केँकुली	नाम
केँवरा	नाम
केँवार	नाम [था.]
केआईसिंह	नाम
केइ	सर्वनाम [कथ्य]
केउडो	नाम
केक	नाम [अङ्.]
केकयी	नाम [सं. कैकेयी]
केका	नाम [सं.]
केकाउनु	अकर्मक क्रिया
केकाली	नाम [मग.]
केकी	नाम [सं.]
केकुली	नाम
केके जाति	
केकेन	क्रियाविशेषण
केङ्री	नाम [मग.]
केचना	नाम [था.]
केचा	नाम
केचाकी	नाम [मग.]
केचु	नाम [गन्गा.]
केचुवा	नाम [गन्गा.]
केछो	नाम
केजरीवाल	नाम
केजा	नाम [मग.]
केजाति	
केजानी	निपात
केजी	नाम [अङ्.]
केजुन	नाम [मग.]
केजेङ	नाम [अस.]
केजो	नाम
केटाकेटी	विशेषण [केटा+केटी]
केटामान्छे	नाम [केटो+मान्छे]
केटी	नाम [केटो+ई]
केटीमान्छे	नाम [केटी+मान्छे]
केटो	नाम [सं. चेट]
केटोबाज	नाम
केटौली	नाम
केटौलो	विशेषण
केडा	नाम
केडारित	[प्राने]
केडिया	नाम
केड्युनु	सकर्मक क्रिया
केतक	नाम [सं.]
केतक/केतकी	
केतकी	नाम [सं.]
केतन	नाम [सं.]
केतली	नाम
केतारा	नाम [रा.]
केतारी	नाम [गन्गा.]
केतारी गाछ	नाम [गन्गा.]
केतु	नाम [सं.]
केतुक्यार	नाम
केतुवा	नाम
केत्तु	नाम [या.]
केत्तुके	नाम [सं. केतकी]
केदार	नाम [सं.]
केदार खण्ड	
केदारखण्ड	नाम
केदारनाथ	नाम
केदारस्युँ	नाम
केदेम्बा	नाम [लि.]
केधीँ	नाम [गु.]
केन	नाम [सं.]
केन्गे	नाम [मग.]
केन्जो टाङ्गे	नाम
केन्तुम् शाखा	नाम [ल्या. केन्तुम्+सं. शाखा]
केन्द्र	नाम [सं.]
केन्द्रक	नाम [सं.]
केन्द्रण	नाम [सं.]
केन्द्रबिन्दु	नाम [सं.]
केन्द्रमण्डल	नाम [सं.]
केन्द्रमुखी	विशेषण [सं. केन्द्र+मुख+ई]
केन्द्रवर्ती	विशेषण [सं. केन्द्र+वर्ती]
केन्द्रस्थ	विशेषण [सं.]
केन्द्रापसारी	विशेषण [सं.]
केन्द्राभिमुख	विशेषण [सं.]
केन्द्राभिसारी	नाम [सं. केन्द्र+अभिसारी]
केन्द्रिक	विशेषण [सं. केन्द्र+इक]
केन्द्रित	विशेषण [सं.]
केन्द्रिनु	अकर्मक क्रिया
केन्द्री	विशेषण [सं.]
केन्द्रीकरण	नाम [सं.]
केन्द्रीकृत	विशेषण [सं. केन्द्र+ई+कृत]
केन्द्रीभूत	विशेषण [सं.]
केन्द्रीय	विशेषण [सं.]
केन्द्रीय बैङ्क	नाम
केन्द्रीय बैङ्क/ब्याङ्क	
केन्द्रीय ब्याङ्क	नाम
केन्द्रीय शासन	नाम [सं.]
केन्द्रीय सङ्गठन	नाम [सं.]
केन्द्रीय सरकार	नाम
केन्द्रीयता	नाम [सं.]
केन्द्रोन्मुख	विशेषण [सं. केन्द्र+उन्मुख]
केन्द्रोन्मुखी	विशेषण [सं.]
केप	नाम [अङ्.]
केपछाकी	नाम [मग.]
केपीलासगढी	नाम
केप्चे	नाम [गु.]
केप्छाकी	नाम [मग.]
केबाड	नाम [गन्गा.]
केबुल	नाम [अङ्.]
केभाडिउँ	क्रियाविशेषण
केमचा	नाम [गन्गा.]
केमाच	नाम
केमानु	नाम
केमिकल	नाम [अङ्.]
केमी	नाम [रा.]
केम्तुङ	नाम [रा.]
केम्पाच	नाम [रा.]
केयूर	नाम [सं.]
केरकार	नाम [द्वि. केर]
केरकेट्टा	नाम
केरमेट	नाम [केर्+मेट्]
केरल	नाम [सं.]
केरा	नाम [सं. कदली]
केरा आँखाले हेद्दु	टुक्का
केराइ	नाम [केर्+आइ]
केराइनु	
केराउ	नाम [सं. कलाप]
केराउ कोसे	नाम
केराउनु	प्रेरणार्थक क्रिया [केर्+आउ+नु]
केराकेटी	नाम
केराको घडी	नाम [मपने.]
केरानी	नाम [अस.]
केराबारी	नाम
केरासिन	नाम [अस.]
केरिनु	कर्मवाच्य क्रिया [केर्+इ+नु]
केरुङ	नाम
केरे	
केरेप	नाम [अस.]
केरो	नाम
केरोसिन	नाम [अङ्.]
केर्केटुवा	नाम [अस.]
केर्नु	सकर्मक क्रिया [केर्+नु]
केर्वा	नाम [को.]
केर्‍या	विशेषण
केलक	नाम [सं.]
केला	नाम
केलाइ	नाम [केलाउ+आइ]
केलाइकुलाइ	नाम
केलाइनु	
केलाउनु	सकर्मक क्रिया [प्रा. केलाय]
केलाड	नाम
केलि	नाम [सं.]
केलिकला	नाम [सं.]
केलिगृह	नाम [सं.]
केलिनु	अकर्मक क्रिया [केलाउ+इ+नु]
केलिवन	नाम [सं.]
केलेङकारी	नाम [अस.]
केलो	नाम
केल्टेली	विशेषण [केल्ट+एली]
केल्लरी	नाम [पने.]
केल्साङ	नाम [थका.]
केवँरा	ना. [सं. केविका]
केवट	ना. [प्रा. केवट्ट< सं. कैवर्त]
केवरत	नाम
केवल	अव्य. [सं.]
केवल ज्ञानी	ना.
केवलज्ञानी	विशेषण [सं.]
केवलात्मा	नाम [सं.]
केवाड	नाम
केवाड खोल्लु	टुक्का
केवारी	नाम
केवालङ्	नाम [लि.]
केश	ना. [सं.]
केश कर्म	ना.
केश पाक्नु	टुक्का
केश प्रसाधनी	ना.
केशकर्तन	नाम [सं.]
केशकर्तनी	नाम [सं.]
केशकर्म	नाम [सं.]
केशकलाप	ना.
केशकीट	नाम [सं.]
केशगर्भ	नाम [सं.]
केशग्रह	नाम [सं.]
केशतैल	नाम [सं.]
केशपतन	ना.
केशपाश	ना.
केशप्रसाधनी	नाम [सं.]
केशबन्ध	नाम [सं.]
केशमार्जन	ना.
केशर	ना. [सं.]
केशरञ्जन	नाम [सं.]
केशराम्ल	नाम [सं.]
केशराशि	नाम [सं. केश+राशि]
केशरी	ना. [सं.]
केशव	ना. [सं.]
केशवर्धिनी	नाम [सं.]
केशविन्यास	ना. [सं.]
केशवेश	नाम [सं.]
केशवेष्टन	नाम [सं.]
केशशिल्पी	विशेषण [सं.]
केशशुल्का	नाम [सं.]
केशशृङ्गार	नाम [सं.]
केशाकेशी	नाम [सं.]
केशान्त संस्कार	नाम [सं.]
केशामृत	नाम [सं.]
केशिनी	नाम [सं.]
केशी	विशेषण [सं.]
केशुलडा	विशेषण
केशोपचार	नाम [सं.]
केस	ना. [अड्]
केसर	ना.
केसर शमसेर	नाम
केसरनामा	ना. [?]
केसरिया	वि. [केसर इया]
केसरी	ना.
केसर्‍याक	नाम [अङ्.]
केसऱ्याक	ना. [अङ्.]
केसाङ	नाम [रा.]
केसामी	नाम [लि.]
केसिनु	अ.क्रि. [केस्रो+इ+नु]
केसौका	नाम [था.]
केसौर	ना. [सं. कसेरु]
केस्य्राउनु	क्रिया
केस्राकेसी	ना. [केस्रा+केस्रा]
केस्राकेस्री	नाम [केस्रा+केस्रा]
केस्रिनु	अकर्मक क्रिया [केस्रो+इ+नु]
केस्रो	ना. [सं. केसर]
केस्र्याइ	नाम
केही	वि. [सं. किंहि]
केही न केही	विशेषण/ क्रियाविशेषण
केही सिप नलाग्नु	टुक्का
कै	विभक्ति [मने.]
कैँची	नाम [तु.]
कैँची कस्नु	टुक्का
कैँची काट्नु	टुक्का
कैँची मार्नु	टुक्का
कैँचीमा पार्नु	टुक्का
कैँचीमार	विशेषण
कैँचे	नाम [भु.]
कैँजल	नाम
कैँठा	नाम [था.]
कैँडा	नाम
कैँडे	विशेषण [कैँडो+ए]
कैँडो	नाम [सं. गञ्जा]
कैँती	नाम
कैँधनी	नाम [था.]
कैँसी	नाम
कैंची	ना. [तु. कैची]
कैंजल	ना.
कैंडे	वि. [कैंडो+ए]
कैंडो	ना. [सं. गञ्जा]
कैकेयी	ना. [सं.]
कैको	विशेषण [बहु./ति. केका]
कैजा	नाम
कैटभ	ना. [सं.]
कैटी	नाम [नेवा.]
कैटे	ना. [सं. कट]
कैठ	नाम
कैठिया	नाम [काठ+इया]
कैड	नाम
कैतव	ना. [सं.]
कैतव प्रयोग	नाम [सं.]
कैतवापहनुति	ना.
कैतवापह्नुति	नाम [सं.]
कैताआ	क्रियाविशेषण
कैथ	ना. [प्रा. कइत्थ]
कैथा	नाम [गन्गा.]
कैथाआ	क्रियाविशेषण
कैथि	क्रियाविशेषण
कैथी	नाम [कायस्थ+ई]
कैथुरी	नाम
कैथुरो	नाम
कैथो	विशेषण
कैद	ना. [अ.]
कैद ठेक्नु	टुक्का
कैद पुर्जी	ना.
कैद भुक्तान	नाम
कैदकट्टी	ना.
कैदखाना	ना.
कैदमुक्त	विशेषण
कैदी	वि. [अ.]
कैनिर	नाम
कैनी	नाम
कैनु	सकर्मक क्रिया [कह+नु]
कैपँचा	ना. [नेवा.]
कैपुँचा	नाम [नेवा.]
कैफत	ना. [सं. कुपथ्य]
कैफती	वि.
कैफियत	ना. [अ.]
कैफियत गर्नु	टुक्का
कैफियत तलब	ना.
कैभाँत	नाम
कैमुतिक न्याय	नाम [सं.]
कैयट	नाम [सं.]
कैयन्	वि.
कैयाँ	ना.
कैयौँ	विशेषण
कैयौं	वि.
कैर	नाम
कैरन	ना. [√ कहिरन]
कैरव	ना. [सं.]
कैरात	ना. [सं.]
कैरान	नाम [गु.]
कैरुवा	ना.
कैल	विशेषण [गन्गा.]
कैलकरो	विशेषण [गन्गा.]
कैलारी	नाम
कैलाली	ना.
कैलाश	ना. [सं.]
कैलाशकूट भवन	ना.
कैलाशपति	ना.
कैलाशवास	ना.
कैलास	नाम [सं.]
कैलास खोला	नाम [कैलास+खोला]
कैलास सन्न्यास आश्रम	नाम
कैलासकूट भवन	नाम [सं.]
कैलासधुरा	नाम
कैलासपति	नाम [सं.]
कैलासवास	नाम [सं.]
कैली	वि. [कैलो+ई]
कैली दई	नाम
कैलु	नाम
कैले	क्रि. यो. [√ कहिले]
कैलो	वि. [प्रा. कइलो]
कैलो भटमास	ना.
कैलो सिमी	ना.
कैलो सिसौ	ना.
कैल्या नहर	नाम
कैवर्त	ना. [सं.]
कैवल्य	ना. [सं.]
कैशिक	वि. [सं.]
कैशिकी वृत्ति	ना. [सं.]
कैशोर	ना. [सं.]
कैहो	नाम [प्राने.]
को	सर्व. [सं. कः]
को खाई को खाई	नाम [बाबो.]
को जानि	निपात [सं. कः जानाति]
कोँचाखीँ	नाम [नेवा.]
कोँहार	नाम
कोंचाखीं	ना. [नेवा.]
कोःक्मा	नाम [लि.]
कोःत्चो	नाम [लि.]
कोआँसो	ना. [कोर्+याँसो]
कोइ	सर्वनाम
कोइच	नाम [को.]
कोइराला	नाम
कोइरालो	ना. [सं. कोविदार]
कोइरी	ना.
कोइरो	नाम
कोइला	ना. [प्रा. कोइलो]
कोइला खानी	नाम
कोइला पानी	ना.
कोइलादानी	नाम
कोइलान	नाम
कोइलापानी	नाम
कोइलावास	नाम
कोइली	ना. [सं. कोकिल]
कोइलीकलुवा	नाम
कोइलीभास	नाम
कोइलेँटो	नाम [कोइला+एँटो]
कोइलो	ना. [प्रा. कोइल]
कोइल्याँटो	ना. [कोइला+याँटो]
कोई	नाम
कोक	ना. [सं.]
कोककला	नाम [सं.]
कोकडल	नाम [गन्गा.]
कोकडी	नाम
कोकरी	ना. [√ कोक्रो]
कोकले	ना.
कोकलो	नाम
कोकल्याँटो	नाम
कोकशास्त्र	ना. [सं.]
कोकशास्त्रीय	विशेषण
कोका	ना. [?]
कोका कोला	ना.
कोकाइ	नाम
कोकाउनु	अकर्मक क्रिया
कोकाकोला	नाम [अङ्.]
कोकिंचा मुहाली	ना. [नेवा.]
कोकिन	नाम [अङ्.]
कोकिल	ना. [सं.]
कोकिलकण्ठ	नाम [सं.]
कोकिला	ना. [सं.]
कोकिस	ना. [?]
कोके	नाम [गु.]
कोकेन	ना. [अड्.]
कोकेरो	नाम
कोकैय	नाम [गन्गा.]
कोको	ना. [अड्.]
कोकोम्हेदो	नाम [दा.]
कोकोहोलो	ना. [सं. कोलाहल]
कोक्किनु	अ.क्रि. [सं. कषाय]
कोक्ती	ना. [लि.]
कोक्याइ	ना. [√ कोक्याउ (+याइ)]
कोक्याइनु	क.क्रि.
कोक्याउनु	स. क्रि. [कोक्कि+याउ+नु]
कोक्रो	ना. [सं. क्रोडक]
कोक्लेँटो	विशेषण
कोक्ल्याँटो	वि.
कोख	ना. [प्रा. कोक्ख८ सं. कुक्षि]
कोख मार्नु	क्रिया
कोखको बालो	नाम
कोखङ	नाम [रा.]
कोखा	ना.
कोखाको घा	ना.
कोखाको घाउ	ना.
कोखामा दाह्रा हुनु	टुक्का
कोखिराल	नाम
कोखिलो	नाम
कोखी	ना. [कोखो+ई]
कोखे	वि. [कोखो+ए]
कोखे घाउ	ना.
कोखे चोइली	ना.
कोखे सारङ्गी	ना.
कोखेलो	ना. [कोखो+एलो]
कोखो	ना. [प्रा. कोक्ख८ सं. कौक्ष]
कोखो बजाउनु	टु.
कोख्ला	नाम [दा.]
कोख्लो	नाम [दा.]
कोगटी	नाम
कोगिटा	ना. [सं. कुक्कुटी]
कोग्ल्याँटो	वि.
कोङहाङ	नाम [रा.]
कोङ्‌ग्रेन	नाम [लि.]
कोच	नाम [अङ्.]
कोचकाच	ना.
कोचक्नु	सकर्मक क्रिया
कोचमडिनु	क्रिया
कोचमडियो	विशेषण
कोचर्नु	सकर्मक क्रिया
कोचलकाचल	नाम
कोचलगाँडो	नाम
कोचलफाँडो	नाम
कोचलाइ	ना.
कोचलिनु	क.क्रि.
कोचलो	नाम
कोचलो मस्टो	नाम
कोचल्नु	स. क्रि. [सं. कुचालन]
कोचवान	ना. [अड्. कोचम्यान]
कोचाइ	ना. [√ कोच् (+आइ)]
कोचाइनु	क.क्रि.
कोचाउनु	प्रे.क्रि.
कोचाकोच	ना.
कोचारिनु	क.क्रि.
कोचारो	ना. [कोच्+आरो]
कोचार्नु	स. क्रि. [कोचारो+नु< सं. कोचन]
कोचिला	नाम [कोच+इल+आ]
कोची	नाम [गन्गा.]
कोची कोची	क्रियाविशेषण
कोचे	नाम
कोचेप्रो	विशेषण
कोचेलाइ	ना.
कोचेलिनु	क.क्रि.
कोचेलो	ना. [सं. कुचोद्य]
कोचेल्नु	स. क्रि. [कोचेलो+नु]
कोच्च्याउनो	विशेषण
कोच्छे	ना.
कोच्नु	स. क्रि. [सं. कोचन]
कोच्मडिनु	अकर्मक क्रिया
कोच्याउनु	क्रिया
कोछ्या	नाम
कोजागर	ना. [सं.]
कोजाग्रत	ना. [सं.]
कोजाग्रत पूर्णिमा	नाम [सं.]
कोजानि	अव्य. [सं. कः जानाति]
कोजू	नाम [नेवा.]
कोट	ना. [अङ्.]
कोट तुरुप	नाम [कोट+तुरुप]
कोटकाँडो	नाम
कोटकाली	ना.
कोटकोट कोट्याँस	नाम
कोटतुरुप	ना. [कोट+तुरुप]
कोटपउरो	नाम
कोटपाल	ना. [सं. कोट्टपाल]
कोटपिस	नाम
कोटफ्रक	ना. [अड्.]
कोटमेरो	नाम
कोटर	ना. [सं.]
कोटरी	नाम
कोटरे	नाम
कोटरो	नाम
कोटवाल	नाम [सं. कोट्ट+वाल]
कोटहिमाई	नाम
कोटहीमाई	नाम
कोटा	ना. [अङ्.]
कोटान्जी	नाम
कोटाल	ना. [नेवा.]
कोटाली	ना.
कोटि	ना. [सं.]
कोटिऔँ	विशेषण [कोटि+औँ]
कोटिक	विशेषण [सं.]
कोटिकर	विशेषण [सं. कोटि+कर]
कोटिच्युत	नाम [सं.]
कोटिबद्ध	विशेषण [सं.]
कोटिबन्ध	नाम [सं.]
कोटिया	विशेषण [अस.]
कोटियौँ	विशेषण [कोटि+यौँ]
कोटिला	ना. [सं.]
कोटिलिङ्ग	ना. [सं.]
कोटिलिङ्ग अदालत	ना.
कोटिशः	क्रि.वि. [सं.]
कोटिहोम	नाम [सं.]
कोटी	ना. [सं.]
कोटे	वि. [कोट+ए]
कोटेरो	ना.
कोटेसन	ना. [अ]
कोट्ट	ना. [सं.]
कोट्टपाल	नाम [सं.]
कोट्टिनु	अ.क्रि. [सं. कोट्टयन]
कोट्टो	नाम
कोट्ट्याइ	ना.
कोट्ट्याइनु	क.क्रि.
कोट्ट्याउनु	स. क्रि.
कोट्याँस	नाम
कोट्‌टिनु	अकर्मक क्रिया [सं. कोट्टयन]
कोठरी	ना. [सं. कोष्ठ]
कोठलिइ	नाम [गन्गा.]
कोठली	नाम [गन्गा.]
कोठा	नाम
कोठाकोठी	ना. [कोठो+कोठी]
कोठागार	नाम
कोठाफुङ्ला	नाम
कोठामचे	नाम [नेवा. कोठामचा]
कोठामचे/कोठामोचे	ना. [नेवा. कोठामचा]
कोठामोचे	नाम [नेवा. कोठामचा]
कोठार	ना. [सं. कोष्ठ+आकार]
कोठारिन	नाम
कोठारी	ना.
कोठी	ना. [सं. कोष्ठ]
कोठी कामुन पड्डु	टुक्का
कोठीभिर	नाम
कोठीवाल	वि.
कोठीवाल्नी	ना.
कोठे	वि. [कोठो+ए]
कोठे गफ	ना.
कोठे तुक्का	ना.
कोठे दङ्गा	ना.
कोठे पण्डित	ना.
कोठे मालिक	ना.
कोठे राजनीति	ना.
कोठे रानी	ना.
कोठेगफ	नाम
कोठेतुक्का	नाम
कोठेदङ्गा	नाम
कोठेपण्डित	नाम
कोठेपद	ना.
कोठेपहेली	नाम
कोठेबाबु	ना.
कोठेबारी	ना.
कोठेमालिक	विशेषण
कोठेमोचे	नाम
कोठेराजनीति	नाम
कोठेरानी	नाम
कोठो	ना. [सं. कोष्ठ]
कोठो पुर्नु	टुक्का
कोड	नाम [अङ्.]
कोडर्नी	नाम
कोडल	नाम [गन्गा.]
कोडाआ	नाम [गन्गा.]
कोडादाँत	नाम
कोडाबै छिकै	नाम [गन्गा.]
कोडी	नाम
कोडीखाना	नाम [कोडी+खाना]
कोडो	नाम
कोड्को	नाम [को.]
कोड्याइँ	नाम
कोड्याहा	नाम
कोढ	ना. [सं. कुष्ठ]
कोढिया	नाम [गन्गा.]
कोढी	नाम [कोढ+ई]
कोण	ना. [सं.]
कोणधारी	वि.
कोणधारी वन	ना.
कोणसभा	नाम [सं. कोण+सभा]
कोणाकार	विशेषण
कोत	ना. [सं. कोट्ट]
कोत पर्व	ना.
कोतपर्व	नाम
कोतरकातर	नाम
कोतराइ	नाम
कोतरिनु	क.क्रि.
कोतरो	विशेषण
कोतर्नु	स. क्रि. [सं. कोटरण]
कोतर्‍याउनु	प्रेरणार्थक क्रिया
कोतऱ्याइ	ना.
कोतऱ्याउनु	प्रे.क्रि.
कोतवाल	ना. [सं. कोट्टपाल]
कोतवाली	ना.
कोताखान	ना. [?]
कोताषान	नाम [प्राने]
कोते	ना. [कोत+ए]
कोते धन्दा	ना.
कोतेधन्दा	नाम
कोतेपिपा	नाम
कोत्रनु	सकर्मक क्रिया
कोत्रा	ना. [√ कोत्रो]
कोत्रिनु	अ.क्रि. [कोत्रो+इ+नु]
कोत्रे	वि. [कोत्रो+ए]
कोत्रो	ना. [सं. कोटर]
कोत्र्याइ	ना. [√ कोत्रि (+याइ)]
कोत्र्याइनु	क.क्रि.
कोत्र्याउनु	प्रे.क्रि.
कोत्र्याहा	वि.
कोत्लेगाँडो	वि. [कोते+गाँडो]
कोथलाइन हाल्नु	क्रिया
कोथलो	नाम
कोथल्या	विशेषण
कोथल्या बनास	विशेषण
कोथल्युनु	सकर्मक क्रिया
कोथा	ना. [√ कोथो]
कोथाउनु	अकर्मक क्रिया [कोथो+आउ+नु]
कोथाले	विशेषण
कोथिनु	अकर्मक क्रिया [भु.]
कोथी	ना. [सं. कौक्षी]
कोथी मुहुडा	ना.
कोथीमुडा	नाम
कोथै छिकै	नाम [गन्गा.]
कोथो	ना. [प्रा. कोत्थ]
कोदण्ड	ना. [सं.]
कोदरा	नाम [था.]
कोदा घुड	नाम
कोदाडी	नाम [कोदो+आडी]
कोदार	नाम [सं. कुद्दाल]
कोदारी	नाम
कोदाल	नाम [अस.]
कोदालदाँते	नाम
कोदाली	ना. [सं. कुद्दालिका]
कोदाली पाते	वि.
कोदालीपाते	विशेषण
कोदालीपाते दाँत	नाम
कोदाले	वि. [कोदालो+ए]
कोदालो	ना. [सं. कुद्दाल]
कोदे	वि. [कोदो+ए]
कोदे जुनेलो	नाम
कोदेबन्सो	नाम
कोदैल	नाम [अव.]
कोदो	ना. [सं. कोद्रव]
कोदोकोला	नाम
कोद्दु	सकर्मक क्रिया
कोद्या	नाम
कोद्याउलो	नाम
कोद्यार	नाम
कोद्रव	नाम [सं.]
कोद्रा	नाम [था.]
कोद्‍या	नाम
कोद्‍या खेडी	नाम
कोना	नाम
कोनाआ	नाम [गन्गा.]
कोनाकोनी	नाम [गन्गा.]
कोनि	अव्य. [को+नि]
कोन्ज्योसोम	नाम
कोन्टी	नाम [था.]
कोन्डा	नाम [नेवा.]
कोन्द्रो	नाम
कोन्नु	सकर्मक क्रिया [कोन्+नु]
कोन्सा	नाम [मग.]
कोप	ना. [सं. कुड्म]
कोप ज्वाला	नाम [सं.]
कोपडिन	सकर्मक क्रिया
कोपडियो	विशेषण
कोपडो	नाम
कोपड्या	विशेषण
कोपदाह	नाम [सं.]
कोपबल	नाम [सं.]
कोपबली	विशेषण [सं.]
कोपभवन	ना.
कोपभागी	वि.
कोपभाजन	नाम [सं.]
कोपमूर्ति	नाम [सं.]
कोपरकापर	नाम [द्वि. कोपर]
कोपरा	ना. [हि. कोपर८ सं. कर्पर]
कोपराइ	ना. [कोपर्+आइ]
कोपराकोपर	ना. [कोपर्+कोपर्]
कोपरिनु	क.क्रि. [कोपर्+इ+नु]
कोपर्नु	स. क्रि. [तुल. कोतर्नु]
कोपल	नाम [अव.]
कोपवती	नाम [सं.]
कोपा	नाम [मने.]
कोपित	विशेषण [सं.]
कोपिला	नाम
कोपिला/कोपिलो	ना.
कोपिला/कोपिलो कोपिली	ना.
कोपिलाकोपिली	नाम
कोपिलो	नाम
कोपी	वि. [सं.]
कोपी बाँस	ना.
कोपीबाँस	नाम
कोपु	ना. [√ कप्पु]
कोपुङ	नाम [रा.]
कोपे	नाम [दा.]
कोप्चाकोप्ची	ना.
कोप्चिनु	अ.क्रि. [कोप्चो+इ+नु]
कोप्चे	वि. [कोप्चो+ए]
कोप्चेरो	विशेषण
कोप्चो	वि.
कोप्च्याइ	ना.
कोप्च्याइनु	क.क्रि.
कोप्च्याउनु	प्रे.क्रि.
कोप्पन	नाम
कोप्पा	ना.
