अ	[सं.] ना.
अकबक	विशेषण [सं. अवाक्]
अकबकिया	नाम [गन्गा.]
अकबर	ना. [अ.]
अकबरी	वि.
अकबरे	वि.
अकबाल	ना. [अ. इकवाल]
अकमक	ना. [अ. मू.]
अकमकाइ	ना.
अकमकाइनु	अ.क्रि.
अकमकाउनु	अ.क्रि.
अकमकिन	अ.क्रि.
अकमकिनु	अकर्मक क्रिया
अकमक्क	क्रि.वि.
अकमक्याइँ	ना.
अकमक्याइनु	क.क्रि.
अकमक्याउनु	प्रे.क्रि.
अकम्प	नाम [सं.]
अकम्पन	विशेषण [सं.]
अकम्पित	वि. [सं.]
अकम्प्य	विशेषण [सं.]
अकयो	नाम
अकर	वि. [सं.]
अकरकरा	नाम [सं. आकरकरभ]
अकरकरा/अकरकला	ना. [सं. आकरकरभ]
अकरकला	नाम [सं. आकरकरभ]
अकरगरी	क्रियाविशेषण [प्राने]
अकरण	ना. [सं.]
अकरणी	ना.
अकरणी अङ्क	ना.
अकरणीय	वि. [सं.]
अकरा	विशेषण [सं.]
अकराउनु	अकर्मक क्रिया
अकरी	विशेषण
अकरुण	वि. [सं.]
अकरो	विशेषण
अकर्कश	विशेषण [सं.]
अकर्ण	ना.
अकर्तव्य	वि. [सं.]
अकर्ता	विशेषण [सं.]
अकर्तृक	विशेषण [सं.]
अकर्न	ना. [फा.]
अकर्नाम	नाम [फा.]
अकर्म	ना. [सं.]
अकर्मक	वि. [सं.]
अकर्मक क्रिया	ना.
अकर्मण्य	वि. [सं.]
अकर्मण्यता	ना.
अकर्मा	विशेषण [सं.]
अकर्मी	विशेषण [सं.]
अकर्षित	विशेषण [सं.]
अकर्‍या	विशेषण
अकल	ना. [अ. अक्ल]
अकलगुम	वि.
अकलङ्क	विशेषण [अ+कलङ्क]
अकलङ्कित	विशेषण [सं.]
अकलदार	वि.
अकलमन्द	वि.
अकला	विशेषण [सं.]
अकली	विशेषण
अकलुषित	वि. [सं.]
अकले	विशेषण
अकल्पनीय	विशेषण [सं.]
अकल्पित	वि. [सं.]
अकल्मष	विशेषण [सं.]
अकल्याण	ना. [सं.]
अकल्याणकारी	विशेषण [सं.]
अकस	नाम
अकस्मात्	क्रि.वि. [सं.]
अकाट्य	वि. [सं.]
अकाट्यता	नाम [सं.]
अकाण्ड	विशेषण [सं.]
अकाण्ड ताण्डव	नाम [सं.]
अकाण्डजात	विशेषण [सं.]
अकाण्डपात	विशेषण [सं.]
अकादमी	[हि.]
अकाम	ना. [सं.]
अकामिला	नाम [अस.]
अकाय	वि. [सं.]
अकार	ना. [सं.]
अकारण	क्रि.वि. [सं.]
अकारथ	विशेषण [अव.]
अकारादि	वि. [सं.]
अकारादि क्रम	नाम [सं.]
अकारादिक्रम	ना.
अकारान्त	वि. [सं.]
अकार्थ	ना. [सं. अकार्यार्थ]
अकार्बनिक	विशेषण
अकार्य	नाम [सं.]
अकाल	ना. [सं.]
अकालज	विशेषण [सं.]
अकालपुरुष	नाम [सं.]
अकालभृत्य	नाम [सं.]
अकालमरण	नाम [सं.]
अकालमरण/मृत्यु	ना.
अकालमूर्ति	नाम [सं.]
अकालमृत्यु	नाम [सं.]
अकालवर्षा	नाम [सं.]
अकालवृष्टि	नाम [सं.]
अकालान्त	नाम [सं.]
अकालान्तकारी	विशेषण [सं.]
अकालै	क्रियाविशेषण
अकाल्पनिक	विशेषण
अकास	ना. [सं. आकाश]
अकासको चरा खसाल्नु	दु.
अकासको फल	ना.
अकासपताल	नाम
अकासपत्ताल	ना.
अकासबत्ती	ना.
अकासबेली	ना.
अकासिँदो	विशेषण
अकासिनु	अ.क्रि. [अकास+इनु]
अकासे	वि. [अकास+ए]
अकासे कित्ता	नाम
अकासे खेती	ना.
अकासे वृत्ति	ना.
अकास्याइ	ना. [√ अकासि (+ याइ)]
अकास्याइनु	अ.क्रि.
अकास्याउनु	प्रे.क्रि.
अकिञ्चन	वि. [सं.]
अकिञ्चनता	विशेषण
अकिञ्चित्कर	विशेषण [सं.]
अकिञ्चित्ज्ञ	विशेषण [सं.]
अकिल	नाम [अ. अक्ल]
अकिलदार	विशेषण
अकिल्विष	विशेषण [सं.]
अकीर्ति	नाम [सं.]
अकीर्तिकर	विशेषण [सं.]
अकुञ्चित	विशेषण [सं.]
अकुटिल	विशेषण [सं.]
अकुण्ठ	विशेषण [सं.]
अकुण्ठा	ना. [सं.]
अकुण्ठित	वि.
अकुत	वि.
अकुत्सित	विशेषण [सं.]
अकुपन्चर	नाम [अङ्.]
अकुल	ना. [सं.]
अकुलाइ	ना. [√ अकुलाउ (+ आइ)]
अकुलाइनु	क.क्रि.
अकुलाउनु	अ.क्रि. [सं. आकुल+आउ+नु]
अकुलाहट	ना.
अकुलीन	विशेषण [सं.]
अकुल्याइ	नाम
अकुविती	नाम [रा.]
अकुशल	विशेषण [सं.]
अकुशलता	नाम [सं.]
अकूट	विशेषण [सं.]
अकूत	वि.
अकूर्च	विशेषण [सं.]
अकृत	विशेषण [सं.]
अकृतज्ञ	वि. [सं.]
अकृतज्ञता	नाम [सं.]
अकृतार्थ	विशेषण [सं.]
अकृतार्थता	विशेषण [सं.]
अकृत्य	विशेषण [अ+कृत्य]
अकृत्रिम	विशेषण [अ+कृत्रिम]
अकृत्रिमता	नाम [सं.]
अकृपण	विशेषण [सं.]
अकृपा	नाम [सं.]
अकृष्ट	विशेषण [सं.]
अकृष्टपक्व	विशेषण [सं.]
अकेबान	नाम
अकेला	वि. [सं. एकल]
अकेलो	विशेषण
अकोप	नाम [सं.]
अकौशल	नाम [सं.]
अक्क न बक्क	क्रि.वि. [(द्वि.) न+बक्क]
अक्कड	ना. [सं. अकट]
अक्कर	ना.
अक्करिलो	वि.
अक्कर्‍याउनु	विशेषण
अक्कल	ना. [अ. अक्ल]
अक्कलगुम	क्रियाविशेषण
अक्कलदार	वि.
अक्कलमन्द	वि.
अक्कली	वि.
अक्का	विशेषण
अक्कास	नाम
अक्कासपत्ताल	नाम
अक्कासि	क्रियाविशेषण
अक्कासिनु	क्रियाविशेषण
अक्कासे पुल	नाम
अक्किल	नाम
अक्केबारघी	विशेषण [गन्गा.]
अक्केबेर	क्रियाविशेषण [गन्गा.]
अक्केरति	विशेषण [गन्गा.]
अक्को	विशेषण [बहु./ति. अक्का, स्त्री. अक्की]
अक्कौडो	विशेषण
अक्खड	नाम
अक्खनु	सकर्मक क्रिया [अक्ख+नु]
अक्खर	नाम
अक्खा	नाम [मगर]
अक्टुबर	नाम [अङ्.]
अक्टैना	क्रिया [था.]
अक्टोपस	ना. [अङ्.]
अक्टोबर	ना. [अङ्.]
अक्त	नाम [रा.]
अक्तियार	नाम
अक्तियार/अक्तियार	ना.
अक्तिलो	विशेषण
अक्थि	क्रियाविशेषण
अक्थिउडा	क्रियाविशेषण
अक्रनु	अ.क्रि.
अक्रम	वि. [सं.]
अक्रम सन्न्यास	नाम [सं.]
अक्रमता	ना.
अक्रमबक्रम	नाम
